served_adjusted,avg_condition,avg_travel_time,total_cost,genes
3828.0,0.8844410552741427,0.32592360977968776,3780000.0,"[118.36806848410714, 7.698496454151252, 38.28691030945987, 48.61717788515401]"
3811.0,0.8662389780557783,0.27620250909653243,3780000.0,"[160.0, 56.547883578921294, 15.581301687864848, 16.248351308021952]"
3805.0,0.8233632566950472,0.2748280856613421,3780000.0,"[90.08631936438972, 156.0, 63.59377537100338, 92.74282605390214]"
3783.0,0.8448388166172863,0.275767948807649,3780000.0,"[118.26436156738035, 31.79333031563337, 109.1805855469599, 92.7067822971304]"
3766.0,0.9038277065472938,0.33545283960256594,3780000.0,"[70.88286570712543, 0.8943854925286887, 16.279771051743406, 64.18257968539595]"
3754.0,0.8758112968542,0.27822740544942315,3780000.0,"[81.36969562528697, 52.36964749007885, 50.151929875576535, 63.536772281534496]"
3750.0,0.8159326680551925,0.26834047601968164,3780000.0,"[96.06230230297933, 98.99663489115267, 136.3197963790336, 1.786857558479924]"
3735.0,0.8166021548645931,0.26952796442734644,3780000.0,"[93.05679405918062, 98.99663489115267, 136.3197963790336, 1.0917916259142508]"
3726.0,0.8956755722948138,0.3329828639763931,3780000.0,"[70.88286570712543, 5.005932865595818, 34.37739786961894, 84.89968840136488]"
3716.0,0.8598864226692344,0.2755288949431918,3780000.0,"[77.65015621997293, 99.93021471959553, 49.862183549813444, 63.536772281534496]"
3696.0,0.8328395494024716,0.2688211010650474,3780000.0,"[81.46645873196502, 52.674559978698, 142.83954271184678, 1.786857558479924]"
3695.0,0.8791992989454933,0.2768104572757205,3780000.0,"[115.02656551760538, 56.54967414814878, 15.581301687864848, 16.248351308021952]"
3642.0,0.8939935802740764,0.3022340990255028,3780000.0,"[71.98983264463361, 9.628569587390839, 36.849098324380535, 84.89968840136488]"
3638.0,0.9049103400146121,0.3416480613877219,3780000.0,"[70.88286570712543, 1.0543384058802372, 16.278131827734736, 27.152315325873758]"
3608.0,0.9044558440396134,0.27581871849669876,3780000.0,"[13.405052123169419, 39.10886890865307, 16.968240140834492, 46.699565322495474]"
3365.0,0.8744823512123114,0.2706138609847659,3780000.0,"[8.790525648456821, 103.96286457046779, 40.81969591497989, 47.40294596424616]"
2616.0,0.8652795004014887,0.25185060795103636,3780000.0,"[0.6790705975388036, 100.50740565626327, 63.69076239865083, 92.74282605390214]"
2522.0,0.8463733483911188,0.2490167123019274,3780000.0,"[0.6790705975388036, 149.83454332899166, 63.69076239865083, 0.6110885793383289]"
2518.0,0.8671659372554594,0.2513598806991453,3780000.0,"[4.458042906889089, 33.40472531535695, 109.1805855469599, 91.5501687413404]"
2515.0,0.8995722146441651,0.2539150494440459,3780000.0,"[5.135097105466045, 27.99585364842094, 38.206645945741116, 87.05051821805627]"
2496.0,0.8682381262483535,0.25130908347083136,3780000.0,"[0.05327673302026881, 31.640702994557827, 109.1805855469599, 91.5501687413404]"
2462.0,0.8691959301305767,0.24786407069265795,3780000.0,"[1.9694838051157006, 100.50740565626327, 62.84020533101179, 0.16772816628517262]"
2462.0,0.8553698065913874,0.24456514843993207,3780000.0,"[0.6790705975388036, 149.83454332899166, 39.64482282695869, 1.847574432772074]"
2452.0,0.8950950497929631,0.2529206738970995,3780000.0,"[4.263321524163224, 55.807384064899395, 36.71310077266058, 16.21948582697057]"
2319.0,0.904243063143208,0.2477445974610694,3780000.0,"[0.37842404600877444, 11.069864534910721, 37.00474936204344, 92.26408086158935]"
2147.0,0.9145822979254458,0.2410065498205446,3780000.0,"[4.447044158981484, 10.113522025872737, 15.581301687864848, 16.89760276068111]"
1914.0,0.8970946741568007,0.2341700430544962,3780000.0,"[5.135097105466045, 9.31008391304725, 64.88053396547322, 44.17669230282485]"
1873.0,0.9066379750995472,0.23550569543773395,3780000.0,"[5.135097105466045, 9.31008391304725, 38.28691030945987, 47.460564344699186]"
1687.0,0.9074105101892046,0.22106662760305842,3780000.0,"[3.183936459975058, 7.70831749097179, 38.28691030945987, 48.61717788515401]"
1681.0,0.9073325257202153,0.2206742585030086,3780000.0,"[4.648346359738369, 7.731695454454335, 38.28684901871545, 48.675151179040284]"
1604.0,0.9087744980629567,0.21222320381296225,3780000.0,"[4.263321524163224, 4.687447197170372, 36.71310077266058, 47.40294596424616]"
1541.0,0.9161173636247391,0.21228637965520247,3780000.0,"[2.5239920857445526, 3.8801424009124275, 16.495799550686876, 27.181247889924627]"
1539.0,0.9160115640846443,0.2122863110217699,3780000.0,"[4.262703832480535, 3.8801424009124275, 16.495799550686876, 16.346651860242055]"
